,0.0,1e-05,2e-05,4e-05,8e-05,0.0001,0.0002,0.0004,0.0008,0.001,0.002,0.004,0.008,0.01,0.02,0.04,0.08,0.1,0.2,0.4,1.0,10.0
FF_a,1378.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1359.0,1359.0,1356.0,1356.0,1343.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0
FF_bm1,1378.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1359.0,1359.0,1356.0,1356.0,1343.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0
FF_bm2,1377.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1354.0,1354.0,1320.0,1320.0,1314.0,1305.0,1305.0,1305.0,1305.0,1305.0,1305.0
FF_d,1377.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1354.0,1354.0,1320.0,1320.0,1314.0,1305.0,1305.0,1305.0,1305.0,1305.0,1305.0
FF_mix,1355.0,1342.0,1344.0,1349.0,1342.0,1345.0,1346.0,1345.0,1343.0,1345.0,1349.0,1363.0,1356.0,1344.0,1351.0,1334.0,1330.0,1331.0,1325.0,1330.0,1331.0,1330.0
FF_mix2,1351.0,1338.0,1335.0,1330.0,1326.0,1333.0,1335.0,1333.0,1335.0,1340.0,1339.0,1338.0,1344.0,1342.0,1340.0,1322.0,1307.0,1309.0,1306.0,1311.0,1308.0,1323.0
coreopt_FF_a,1378.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1361.0,1359.0,1359.0,1356.0,1356.0,1343.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0
coreopt_FF_d,1377.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1354.0,1354.0,1320.0,1320.0,1314.0,1305.0,1305.0,1305.0,1305.0,1305.0,1305.0
coreopt_IS_aa,1372.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1366.0,1366.0,1363.0,1363.0,1352.0,1356.0,1356.0,1356.0,1356.0,1356.0,1356.0
coreopt_IS_ad,1372.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1366.0,1366.0,1363.0,1363.0,1352.0,1356.0,1356.0,1356.0,1356.0,1356.0,1356.0
coreopt_IS_da,1340.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1329.0,1329.0,1350.0,1350.0,1331.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0
coreopt_IS_dd,1340.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1329.0,1329.0,1350.0,1350.0,1331.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0
